Startup,Company,Category,Investment,Investors,Date,URL,Name,Description,Address,Industries,Technologies,Other fields,Funding stage,Founded,Employees,Business model,Target,Spinoff participants,capital_prev,investors
EQUITO,EQUITO APP S.L,FinancingProptech,0.3M €,Lanzadera,June 2024,startup/barcelona/equito/5843,EQUITO APP S.L,A real estate investment platform enabling users to invest in fractional properties starting from €100. The platform facilitates seamless investment management and offers passive monthly income through property tokenization and fractional ownership.,Paseig De Gracia 19 08007 Barcelona,"Proptech, 
		                		
		                			Financing","Fintech & Insurtech, 
		                		
		                			DLT/Blockchain",Social Economy,Seed (0.25 M EUR - < 1 M EUR),2021,From 11 to 20,Marketplace,Consumer,None / Not a spinoff,0.3M € (JUNE 2024),Lanzadera
VORA,VORA,Fashion & Design,0.3M €,Casilda Güell i Javier Sobrino,June 2024,startup/barcelona/vora/6706,VORA,"Vora is inspired by the city of Barcelona, promoting serenity through unique sensory experiences.","Calle Cavallers, 54 P. 4 Pta. 1 08034 Barcelona",Fashion & Design,E-commerce,Social Economy,Seed (0.25 M EUR - < 1 M EUR),2022,Undisclosed,-,Consumer,None / Not a spinoff,0.3M € (JUNE 2024),Casilda Güell i Javier Sobrino
LEXDOKA,SEEDFY ECOSYSTEM S.L.,Business Services & SoftwareLegaltech,0.3M €,Codols Finances,May 2024,startup/barcelona/lexdoka/6563,SEEDFY ECOSYSTEM S.L.,"LexDoka is a collaborative platform that turns the creation, review, negotiation, signing, and management of contracts into an easy, agile, and efficient task for any company or individual, with or without legal knowledge.","Calle Pallars, 108 08018 Barcelona","Business Services & Software, 
		                		
		                			Legaltech","Fintech & Insurtech, 
		                		
		                			Digital Assets",Industry 4.0,Seed (0.25 M EUR - < 1 M EUR),2021,Undisclosed,Saas,Business,None / Not a spinoff,0.3M € (MAY 2024),Codols Finances
KOKUAI,KOKUAI S.L.,HealthtechBusiness Services & Software,0.3M €,"Elisabeth Martinez, Oriol Vila, Blast",September 2024,startup/barcelona/kokuai/5838,KOKUAI S.L.,"Kokuai is a Barcelona based start-up founded in 2020  aiming to improve the efficiency of healthcare providers processes, enabling them to deliver a better service experience to their patients. By using our  AI conversational platform, healthcare facilities can connect and engage with patients on WhatsAp, optimizing their scheduling process for maximum conversion and reducing cancellations and no-shows.","Carrer Llacuna, 162 08018 Barcelona","Healthtech, 
		                		
		                			Business Services & Software","AI & Big Data, 
		                		
		                			Connectivity, 
		                		
		                			Automation",-,Seed (0.25 M EUR - < 1 M EUR),2020,From 1 to 5,Saas,Business,None / Not a spinoff,0.3M € (SEPTEMBER 2024),"Elisabeth Martinez, Oriol Vila, Blast"
FLAMAID,FLAMAID S.L.,Hardware,0.3M €,ONA Capital,July 2024,startup/barcelona/flamaid/7137,FLAMAID S.L.,"Flamaid is a safety device equipped with an audible alarm and GPS technology, designed for emergency situations.","Calle Salvador Espriu, 47 P. 5 Pta. 1 08005 Barcelona",Hardware,IoT & Sensors,Social Economy,Seed (0.25 M EUR - < 1 M EUR),2023,Undisclosed,Development & Manufacturing,Consumer,None / Not a spinoff,0.1M € (NOVEMBER 2024),N/A
FLAMAID,FLAMAID S.L.,Hardware,0.3M €,ONA Capital,July 2024,startup/barcelona/flamaid/7137,FLAMAID S.L.,"Flamaid is a safety device equipped with an audible alarm and GPS technology, designed for emergency situations.","Calle Salvador Espriu, 47 P. 5 Pta. 1 08005 Barcelona",Hardware,IoT & Sensors,Social Economy,Seed (0.25 M EUR - < 1 M EUR),2023,Undisclosed,Development & Manufacturing,Consumer,None / Not a spinoff,0.3M € (JULY 2024),ONA Capital
YOUZTALENT,YOUZTALENT,Community & Social network,0.2M €,Fundació Telefónica,June 2024,startup/barcelona/youztalent/6711,YOUZTALENT,We empower Generation Z and help companies create an inclusive organizational culture that attracts young talent.,"Calle Pallars, 73 08018 Barcelona",Community & Social network,Digital Assets,Social Economy,Pre-seed (< 0.25 M EUR),2019,Undisclosed,-,Business,None / Not a spinoff,0.2M € (JUNE 2024),Fundació Telefónica
DIPNEO,DIPNEO S.L,Healthtech,0.2M €,Capital Cell,August 2024,startup/barcelona/dipneo/7143,DIPNEO S.L,"Dipneo is developing a medical device for auxiliary resuscitation in patients with cardiorespiratory arrest, based on a patented technology from Eurecat.","Plaza Pau Vila (Ed. Palau De Mar), 1 P. 2, Sector 2 C 08039 Barcelona",Healthtech,Medical devices,-,Pre-seed (< 0.25 M EUR),2023,Undisclosed,-,Business,None / Not a spinoff,0.2M € (AUGUST 2024),Capital Cell
TIRECATHEALTH,TIRECAT HEALTH SL,Healthtech,0.2M €,Grow Venture Partners,January 2025,startup/barcelona/tirecathealth/7127,TIRECAT HEALTH SL,"We develop and manufacture a novel family of polymers with great properties for different fields of medicine from tissue regeneration to oncology we are able to tackle a wide spread of medical needs.
PyroH our first clinical candidate is a polymer that adheres to wet tissues acting as an implant that speeds up regeneration times up to 41% and is able to completely guarantee infection prevention. This properties position it as a unique value proposition in the realm of skin regeneration.",Rbla Catalunya Num 78 Planta 3 Puerta 1B 08008 B 08008 Barcelona,Healthtech,"Medical devices, 
		                		
		                			Biotechnology, 
		                		
		                			NBS (Nature Based Solutions)",Deeptech,Seed (0.25 M EUR - < 1 M EUR),2024,From 1 to 5,Development & Manufacturing,Business,"CERCA Centre (CERCA Centre); 
CSIC Centre (CSIC Centre)",0.2M € (JANUARY 2025),Grow Venture Partners
CRIBDATA,"CRIBDATA, S.L.",Business Services & SoftwareFinancing,0.2M €,BcombinatorFI Group,October 2024,startup/barcelona/cribdata/7058,"CRIBDATA, S.L.","Cribdata is transforming personal data processing, offering enhanced security and efficiency for handling sensitive information.","Calle Via Augusta, 35 P. 6 08006 Barcelona","Business Services & Software, 
		                		
		                			Financing",AI & Big Data,Social Economy,Pre-seed (< 0.25 M EUR),2023,Undisclosed,-,Business,None / Not a spinoff,0.2M € (OCTOBER 2024),BcombinatorFI Group
