,Name,Startup,Description,Investment,Inv_previa,Num_Inversio,Founded,es_sociedad_limitada,Ind Business Services & Software,Ind Healthtech,Ind Financing,Ind E-commerce & Marketplaces,Ind ICT & Mobile,Ind Green & Energytech,Ind Food,Ind Hardware,Ind Sustainable mobility,Ind Traveltech & Leisure,Ind Contech & Proptech,Ind Logistic Tech,Ind Community & Social network,Ind Edtech,Ind Gov tech,Ind Gaming,Ind Fashion & Design,Ind Agriculture,Ind Digital Content & Media,Ind Beauty & Personal care,Ind Adtech,Ind Sports,Ind Legaltech,Ind Musictech,Tech AI & Big Data,Tech Automation,Tech Cloud & Edge Computing,Tech IoT & Sensors,Tech E-commerce,Tech Digital Health,Tech Biotechnology,Tech Fintech & Insurtech,Tech Connectivity,Tech Digital Assets,Tech Foodtech,Tech Personalized medicine,Tech DLT/Blockchain,Tech Medical devices,Tech Smart City,Tech Cybersecurity,Tech Immersive technologies & digital entertainment,Tech Additive manufacturing,Tech Omic Sciences,Tech Recycling & Recovery,Tech Sustainable materials,Tech Frontier materials,Tech Agritech,Tech Electric Vehicle & Micromobility,Tech Clean Energy,Tech New Space,Tech Simulation & Digital Twins,Tech Decarbonization,Tech Vaccines & New biological design,Tech Green chemistry,Tech Robotics & Collaborative Robotics,Tech Supercomputing,Tech Connected & Autonomous Vehicle,Tech Semiconductors,Tech -,Tech Photonics & Quantum Sciences,Tech Batteries & Storage,Tech Blue Economy,Tech Micro & Nano electronics,Tech Bioeconomy,Tech Smart Building,Tech POCT (Point of Care Testing),Tech Smart grid & Distributed networks,Tech Catalysis & biocatalysis,Tech NBS (Nature Based Solutions),Tech Water cycle technologies,Tech Energy Harvesting,Tech Drones,Tech Hydrogen,Tech Chemical recycling,OF Scaleup,OF Deeptech,OF Industry 4.0,OF -,OF Circular Economy,OF Smart Cities,OF Social Economy,OF Sharing Economy,Emp From 1 to 5,Emp From 11 to 20,Emp From 21 to 50,Emp From 6 to 10,Emp More than 50,Emp Undisclosed,BM Saas,BM Development & Manufacturing,BM Subscription,BM Marketplace,BM R+D+I Services,BM Software licence,BM Ecommerce & Trade,BM Others,BM Consultancy & Agency,BM Other types of licence,BM -,BM Advertising,Targ Business,Targ Consumer,Targ -,Spin None  Not a spinoff,Spin CERCA Centre,Spin University,Spin ICREA Centre,Spin Technological Centre,Spin Company Other Centre,Spin University - Hospital,Spin CSIC Centre,Spin I3PT,Spin TECNIO Centre
0,TRAVELPERK SL,TRAVELPERK,"Travelperk is a business travel platform pioneering the future of travel. travelperk's all-in-one platform gives travelers the freedom they want whilst providing companies the control they need. the result is saved time, money, and hassle for everyone. travelperk has the world's largest travel inventory alongside powerful management features, 24/7 customer support, state-of-the-art technology and consumer-grade design.",190.0,583.0,8,10.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1,TRAVELPERK SL,TRAVELPERK,"Travelperk is a business travel platform pioneering the future of travel. travelperk's all-in-one platform gives travelers the freedom they want whilst providing companies the control they need. the result is saved time, money, and hassle for everyone. travelperk has the world's largest travel inventory alongside powerful management features, 24/7 customer support, state-of-the-art technology and consumer-grade design.",95.0,488.0,7,10.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2,TRAVELPERK SL,TRAVELPERK,"Travelperk is a business travel platform pioneering the future of travel. travelperk's all-in-one platform gives travelers the freedom they want whilst providing companies the control they need. the result is saved time, money, and hassle for everyone. travelperk has the world's largest travel inventory alongside powerful management features, 24/7 customer support, state-of-the-art technology and consumer-grade design.",241.9,246.1,6,10.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
3,TRAVELPERK SL,TRAVELPERK,"Travelperk is a business travel platform pioneering the future of travel. travelperk's all-in-one platform gives travelers the freedom they want whilst providing companies the control they need. the result is saved time, money, and hassle for everyone. travelperk has the world's largest travel inventory alongside powerful management features, 24/7 customer support, state-of-the-art technology and consumer-grade design.",132.0,114.1,5,10.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
4,TRAVELPERK SL,TRAVELPERK,"Travelperk is a business travel platform pioneering the future of travel. travelperk's all-in-one platform gives travelers the freedom they want whilst providing companies the control they need. the result is saved time, money, and hassle for everyone. travelperk has the world's largest travel inventory alongside powerful management features, 24/7 customer support, state-of-the-art technology and consumer-grade design.",53.0,61.1,4,10.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
5,TRAVELPERK SL,TRAVELPERK,"Travelperk is a business travel platform pioneering the future of travel. travelperk's all-in-one platform gives travelers the freedom they want whilst providing companies the control they need. the result is saved time, money, and hassle for everyone. travelperk has the world's largest travel inventory alongside powerful management features, 24/7 customer support, state-of-the-art technology and consumer-grade design.",38.0,23.1,3,10.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
6,TRAVELPERK SL,TRAVELPERK,"Travelperk is a business travel platform pioneering the future of travel. travelperk's all-in-one platform gives travelers the freedom they want whilst providing companies the control they need. the result is saved time, money, and hassle for everyone. travelperk has the world's largest travel inventory alongside powerful management features, 24/7 customer support, state-of-the-art technology and consumer-grade design.",17.0,6.1,2,10.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
7,TRAVELPERK SL,TRAVELPERK,"Travelperk is a business travel platform pioneering the future of travel. travelperk's all-in-one platform gives travelers the freedom they want whilst providing companies the control they need. the result is saved time, money, and hassle for everyone. travelperk has the world's largest travel inventory alongside powerful management features, 24/7 customer support, state-of-the-art technology and consumer-grade design.",6.1,0.0,1,10.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
8,EVERYDAY SOFTWARE SL,FACTORIAL RECURSOS HUMANOS,We've developed a free software that let hr departments automatize all their tasks. with factorial hr managers can manage employee's holidays and sick leaves easily and offer benefits or flexible compensation plans. they can also automatize payroll easily and effortlessly. save time managing your company and employees.,110.0,203.5,5,9.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
9,EVERYDAY SOFTWARE SL,FACTORIAL RECURSOS HUMANOS,We've developed a free software that let hr departments automatize all their tasks. with factorial hr managers can manage employee's holidays and sick leaves easily and offer benefits or flexible compensation plans. they can also automatize payroll easily and effortlessly. save time managing your company and employees.,120.0,83.5,4,9.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
